title,location,property_type,area,price,price_per_sqft,description,developer,url,nearby,area_sqft,price_lakhs,price_per_sqft_numeric,combined_text,cluster
"Residential Land / Plot in Girmapur, Hyderabad","Girmapur, Hyderabad",,1800 sqft,,,"Residential Plot for Sale in Girmapur, Hyderabad. Covered area is 200.0 Sq-ft. This property belongs to ""Peram Signature Park"" . View Property",Peram Signature Park,https://www.magicbricks.com/propertyDetails/200-Sq-yrd-Residential-Plot-FOR-Sale-Girmapur-in-Hyderabad&id=4d423836313130373933,,1800.0,0.0,0.0,"Residential Land / Plot in Girmapur, Hyderabad Girmapur, Hyderabad Residential Plot for Sale in Girmapur, Hyderabad. Covered area is 200.0 Sq-ft. This property belongs to ""Peram Signature Park"" . View Property Peram Signature Park ",0
"Residential Land / Plot in Shankarpalle, Hyderabad","Shankarpalle, Hyderabad",,3573 sqft,,,"Residential Plot for Sale in Shankarpalle, Hyderabad. Covered area is 397.0 Sq-ft. This property belongs to ""SouthPride Sanctuary"" . View Property NearbyShankarpally Bus Station Bus StopKJV Super MarketShankarpally marketSri Vivekananda Junior College, ShankarpallySvaraaj HospitalMEGHA HOSPITAL",SouthPride Sanctuary,https://www.magicbricks.com/propertyDetails/397-Sq-yrd-Residential-Plot-FOR-Sale-Shankarpally-in-Hyderabad&id=4d423835373935323739,"Shankarpally Bus Station Bus Stop, KJV Super Market, Shankarpally market, Sri Vivekananda Junior College, Shankarpally, Svaraaj Hospital, MEGHA HOSPITAL",3573.0,0.0,0.0,"Residential Land / Plot in Shankarpalle, Hyderabad Shankarpalle, Hyderabad Residential Plot for Sale in Shankarpalle, Hyderabad. Covered area is 397.0 Sq-ft. This property belongs to ""SouthPride Sanctuary"" . View Property NearbyShankarpally Bus Station Bus StopKJV Super MarketShankarpally marketSri Vivekananda Junior College, ShankarpallySvaraaj HospitalMEGHA HOSPITAL SouthPride Sanctuary Shankarpally Bus Station Bus Stop, KJV Super Market, Shankarpally market, Sri Vivekananda Junior College, Shankarpally, Svaraaj Hospital, MEGHA HOSPITAL",1
"Residential Land / Plot in Rudraram, NH 9, Hyderabad","Rudraram, NH 9, Hyderabad",,2430 sqft,,,"Residential Plot for Sale in Rudraram, Hyderabad. Covered area is 270.0 Sq-ft. This property belongs to ""Global City VI"" . View Property NearbyKautilya School of Public PolicyGITAM Deemed to be University Hyderabad",Greater Infra Global City VI,https://www.magicbricks.com/propertyDetails/270-Sq-yrd-Residential-Plot-FOR-Sale-Rudraram-in-Hyderabad&id=4d423836303336373735,"Kautilya School of Public Policy, GITAM Deemed to be University Hyderabad",2430.0,0.0,0.0,"Residential Land / Plot in Rudraram, NH 9, Hyderabad Rudraram, NH 9, Hyderabad Residential Plot for Sale in Rudraram, Hyderabad. Covered area is 270.0 Sq-ft. This property belongs to ""Global City VI"" . View Property NearbyKautilya School of Public PolicyGITAM Deemed to be University Hyderabad Greater Infra Global City VI Kautilya School of Public Policy, GITAM Deemed to be University Hyderabad",2
"Residential Land / Plot in BN Reddy Nagar, Hyderabad","BN Reddy Nagar, Hyderabad",,2700 sqft,,,"Residential Plot for Sale in BN Reddy Nagar, Hyderabad. Covered area is 300.0 Sq-ft. This property belongs to ""SR Serenity Heights"" . View Property NearbyBhrungi HospitalsHimagiri HospitalNadirgul Airfield",SR Serenity Heights,https://www.magicbricks.com/propertyDetails/300-Sq-yrd-Residential-Plot-FOR-Sale-BN-Reddy-Nagar-in-Hyderabad&id=4d423835393537363639,"Bhrungi Hospitals, Himagiri Hospital, Nadirgul Airfield",2700.0,0.0,0.0,"Residential Land / Plot in BN Reddy Nagar, Hyderabad BN Reddy Nagar, Hyderabad Residential Plot for Sale in BN Reddy Nagar, Hyderabad. Covered area is 300.0 Sq-ft. This property belongs to ""SR Serenity Heights"" . View Property NearbyBhrungi HospitalsHimagiri HospitalNadirgul Airfield SR Serenity Heights Bhrungi Hospitals, Himagiri Hospital, Nadirgul Airfield",2
"Residential Land / Plot in Kandi, Hyderabad","Kandi, Hyderabad",,1980 sqft,,,"Residential Plot for Sale in Kandi, Hyderabad. Covered area is 220.0 Sq-ft. This property belongs to ""HPR Avani"" . View Property",Srika HPR Avani,https://www.magicbricks.com/propertyDetails/220-Sq-yrd-Residential-Plot-FOR-Sale-Kandi-in-Hyderabad&id=4d423836313139363831,,1980.0,0.0,0.0,"Residential Land / Plot in Kandi, Hyderabad Kandi, Hyderabad Residential Plot for Sale in Kandi, Hyderabad. Covered area is 220.0 Sq-ft. This property belongs to ""HPR Avani"" . View Property Srika HPR Avani ",0
"Residential Land / Plot in Kadthal, Hyderabad","Kadthal, Hyderabad",,1350 sqft,,,"Residential Plot for Sale in Kadthal, Hyderabad. Covered area is 150.0 Sq-ft. This property belongs to ""Nature City"" . View Property",Mega Murali Nature City,https://www.magicbricks.com/propertyDetails/150-Sq-yrd-Residential-Plot-FOR-Sale-Kadthal-in-Hyderabad&id=4d423835363835383033,,1350.0,0.0,0.0,"Residential Land / Plot in Kadthal, Hyderabad Kadthal, Hyderabad Residential Plot for Sale in Kadthal, Hyderabad. Covered area is 150.0 Sq-ft. This property belongs to ""Nature City"" . View Property Mega Murali Nature City ",3
"Residential Land / Plot in Shadnagar, Hyderabad","Shadnagar, Hyderabad",,2970 sqft,,,"Residential Plot for Sale in Shadnagar, Hyderabad. Covered area is 330.0 Sq-ft. This property belongs to ""Sree Laxmi Balaji Township"" . View Property NearbyShadnagar Railway StationShadnagar BustandAVR shopping mall In ShadnagarSri JLM Shopping MallNavajothy High SchoolMontessori High SchoolSri Varada Neuro Multispeciality HospitalShiva Sri Hospital",Sree Laxmi Balaji Township,https://www.magicbricks.com/propertyDetails/330-Sq-yrd-Residential-Plot-FOR-Sale-Shadnagar-in-Hyderabad&id=4d423836323936313033,"Shadnagar Railway Station, Shadnagar Bustand, AVR shopping mall In Shadnagar, Sri JLM Shopping Mall, Navajothy High School, Montessori High School, Sri Varada Neuro Multispeciality Hospital, Shiva Sri Hospital",2970.0,0.0,0.0,"Residential Land / Plot in Shadnagar, Hyderabad Shadnagar, Hyderabad Residential Plot for Sale in Shadnagar, Hyderabad. Covered area is 330.0 Sq-ft. This property belongs to ""Sree Laxmi Balaji Township"" . View Property NearbyShadnagar Railway StationShadnagar BustandAVR shopping mall In ShadnagarSri JLM Shopping MallNavajothy High SchoolMontessori High SchoolSri Varada Neuro Multispeciality HospitalShiva Sri Hospital Sree Laxmi Balaji Township Shadnagar Railway Station, Shadnagar Bustand, AVR shopping mall In Shadnagar, Sri JLM Shopping Mall, Navajothy High School, Montessori High School, Sri Varada Neuro Multispeciality Hospital, Shiva Sri Hospital",2
"Residential Land / Plot in Yacharam, Hyderabad","Yacharam, Hyderabad",,2520 sqft,,,"Residential Plot for Sale in Yacharam, Hyderabad. Covered area is 280.0 Sq-ft. This property belongs to ""SGD Elite Future County"" . View Property",SGD Elite Future County,https://www.magicbricks.com/propertyDetails/280-Sq-yrd-Residential-Plot-FOR-Sale-Yacharam-in-Hyderabad&id=4d423836313338303835,,2520.0,0.0,0.0,"Residential Land / Plot in Yacharam, Hyderabad Yacharam, Hyderabad Residential Plot for Sale in Yacharam, Hyderabad. Covered area is 280.0 Sq-ft. This property belongs to ""SGD Elite Future County"" . View Property SGD Elite Future County ",2
"Residential Land / Plot in Shankarpalle, Hyderabad","Shankarpalle, Hyderabad",,3573 sqft,,,"Residential Plot for Sale in Shankarpalle, Hyderabad. Covered area is 397.0 Sq-ft. This property belongs to ""SouthPride Sanctuary"" . View Property NearbyShankarpally Bus Station Bus StopSB SUPERMARKETChandana Brothers Shopping Mall ShankarpallySri Vivekananda Junior College, ShankarpallySvaraaj HospitalMEGHA HOSPITAL",SouthPride Sanctuary,https://www.magicbricks.com/propertyDetails/397-Sq-yrd-Residential-Plot-FOR-Sale-Shankarpally-in-Hyderabad&id=4d423836323332303635,"Shankarpally Bus Station Bus Stop, SB SUPERMARKET, Chandana Brothers Shopping Mall Shankarpally, Sri Vivekananda Junior College, Shankarpally, Svaraaj Hospital, MEGHA HOSPITAL",3573.0,0.0,0.0,"Residential Land / Plot in Shankarpalle, Hyderabad Shankarpalle, Hyderabad Residential Plot for Sale in Shankarpalle, Hyderabad. Covered area is 397.0 Sq-ft. This property belongs to ""SouthPride Sanctuary"" . View Property NearbyShankarpally Bus Station Bus StopSB SUPERMARKETChandana Brothers Shopping Mall ShankarpallySri Vivekananda Junior College, ShankarpallySvaraaj HospitalMEGHA HOSPITAL SouthPride Sanctuary Shankarpally Bus Station Bus Stop, SB SUPERMARKET, Chandana Brothers Shopping Mall Shankarpally, Sri Vivekananda Junior College, Shankarpally, Svaraaj Hospital, MEGHA HOSPITAL",1
"Residential Land / Plot in Yacharam, Hyderabad","Yacharam, Hyderabad",,1800 sqft,,,"Residential Plot for Sale in Yacharam, Hyderabad. Covered area is 200.0 Sq-ft. This property belongs to ""EON CITY"" . View Property",SGD EON CITY,https://www.magicbricks.com/propertyDetails/200-Sq-yrd-Residential-Plot-FOR-Sale-Yacharam-in-Hyderabad&id=4d423836303530383337,,1800.0,0.0,0.0,"Residential Land / Plot in Yacharam, Hyderabad Yacharam, Hyderabad Residential Plot for Sale in Yacharam, Hyderabad. Covered area is 200.0 Sq-ft. This property belongs to ""EON CITY"" . View Property SGD EON CITY ",0
