review,sentiment
"Excellent location with great connectivity and good amenities",positive
"Very good locality and peaceful environment",positive
"Great property with excellent maintenance",positive
"Terrible roads and very poor maintenance",negative
"Bad locality with poor connectivity",negative
"Very disappointing property and bad service",negative
"Excellent neighborhood and convenient location",positive
"Poor maintenance and terrible experience",negative
"Good schools nearby and excellent connectivity",positive
"Very noisy area with poor facilities",negative
